광역자치단체,광역자치단체_축약,기초자치단체명,기초자치단체명_영문,행정구역,행정기관_법정동,질병관리청,행정구역급
서울특별시,서울,종로구,Jongno-gu,11010,1111000000,00123 종로구,자치구
서울특별시,서울,중구,Jung-gu,11020,1114000000,00124 중구,자치구
서울특별시,서울,용산구,Yongsan-gu,11030,1117000000,00121 용산구,자치구
서울특별시,서울,성동구,Seongdong-gu,11040,1120000000,00116 성동구,자치구
서울특별시,서울,광진구,Gwangjin-gu,11050,1121500000,00106 광진구,자치구
서울특별시,서울,동대문구,Dongdaemun-gu,11060,1123000000,00111 동대문구,자치구
서울특별시,서울,중랑구,Jungnang-gu,11070,1126000000,00125 중랑구,자치구
서울특별시,서울,성북구,Seongbuk-gu,11080,1129000000,00117 성북구,자치구
서울특별시,서울,강북구,Gangbuk-gu,11090,1130500000,00103 강북구,자치구
서울특별시,서울,도봉구,Dobong-gu,11100,1132000000,00110 도봉구,자치구
서울특별시,서울,노원구,Nowon-gu,11110,1135000000,00109 노원구,자치구
서울특별시,서울,은평구,Eunpyeong-gu,11120,1138000000,00122 은평구,자치구
서울특별시,서울,서대문구,Seodaemun-gu,11130,1141000000,00114 서대문구,자치구
서울특별시,서울,마포구,Mapo-gu,11140,1144000000,00113 마포구,자치구
서울특별시,서울,양천구,Yangcheon-gu,11150,1147000000,00119 양천구,자치구
서울특별시,서울,강서구,Gangseo-gu,11160,1150000000,00104 강서구,자치구
서울특별시,서울,구로구,Guro-gu,11170,1153000000,00107 구로구,자치구
서울특별시,서울,금천구,Geumcheon-gu,11180,1154500000,00108 금천구,자치구
서울특별시,서울,영등포구,Yeongdeungpo-gu,11190,1156000000,00120 영등포구,자치구
서울특별시,서울,동작구,Dongjak-gu,11200,1159000000,00112 동작구,자치구
서울특별시,서울,관악구,Gwanak-gu,11210,1162000000,00105 관악구,자치구
서울특별시,서울,서초구,Seocho-gu,11220,1165000000,00115 서초구,자치구
서울특별시,서울,강남구,Gangnam-gu,11230,1168000000,00101 강남구,자치구
서울특별시,서울,송파구,Songpa-gu,11240,1171000000,00118 송파구,자치구
서울특별시,서울,강동구,Gangdong-gu,11250,1174000000,00102 강동구,자치구
부산광역시,부산,중구,Jung-gu,21010,2611000000,00215 중구,자치구
부산광역시,부산,서구,Seo-gu,21020,2614000000,00211 서구,자치구
부산광역시,부산,동구,Dong-gu,21030,2617000000,00205 동구,자치구
부산광역시,부산,영도구,Yeongdo-gu,21040,2620000000,00214 영도구,자치구
부산광역시,부산,부산진구,Busanjin-gu,21050,2623000000,00207 부산진구,자치구
부산광역시,부산,동래구,Dongnae-gu,21060,2626000000,00206 동래구,자치구
부산광역시,부산,남구,Nam-gu,21070,2629000000,00204 남구,자치구
부산광역시,부산,북구,Buk-gu,21080,2632000000,00208 북구,자치구
부산광역시,부산,해운대구,Haeundae-gu,21090,2635000000,00216 해운대구,자치구
부산광역시,부산,사하구,Saha-gu,21100,2638000000,00210 사하구,자치구
부산광역시,부산,금정구,Geumjeong-gu,21110,2641000000,00202 금정구,자치구
부산광역시,부산,강서구,Gangseo-gu,21120,2644000000,00201 강서구,자치구
부산광역시,부산,연제구,Yeonje-gu,21130,2647000000,00213 연제구,자치구
부산광역시,부산,수영구,Suyeong-gu,21140,2650000000,00212 수영구,자치구
부산광역시,부산,사상구,Sasang-gu,21150,2653000000,00209 사상구,자치구
부산광역시,부산,기장군,Gijang-gun,21510,2671000000,00203 기장군,자치군
대구광역시,대구,중구,Jung-gu,22010,2711000000,00308 중구,자치구
대구광역시,대구,동구,Dong-gu,22020,2714000000,00304 동구,자치구
대구광역시,대구,서구,Seo-gu,22030,2717000000,00306 서구,자치구
대구광역시,대구,남구,Nam-gu,22040,2720000000,00301 남구,자치구
대구광역시,대구,북구,Buk-gu,22050,2723000000,00305 북구,자치구
대구광역시,대구,수성구,Suseong-gu,22060,2726000000,00307 수성구,자치구
대구광역시,대구,달서구,Dalseo-gu,22070,2729000000,00302 달서구,자치구
대구광역시,대구,달성군,Dalseong-gun,22510,2771000000,00303 달성군,자치군
인천광역시,인천,중구,Jung-gu,23010,2811000000,00410 중구,자치구
인천광역시,인천,동구,Dong-gu,23020,2814000000,00405 동구,자치구
인천광역시,인천,미추홀구,Michuhol-gu,23090,2817700000,00403 미추홀구,자치구
인천광역시,인천,연수구,Yeonsu-gu,23040,2818500000,00408 연수구,자치구
인천광역시,인천,남동구,Namdong-gu,23050,2820000000,00404 남동구,자치구
인천광역시,인천,부평구,Bupyeong-gu,23060,2823700000,00406 부평구,자치구
인천광역시,인천,계양구,Gyeyang-gu,23070,2824500000,00402 계양구,자치구
인천광역시,인천,서구,Seo-gu,23080,2826000000,00407 서구,자치구
인천광역시,인천,강화군,Ganghwa-gun,23510,2871000000,00401 강화군,자치군
인천광역시,인천,옹진군,Ongjin-gun,23520,2872000000,00409 옹진군,자치군
광주광역시,광주,동구,Dong-gu,24010,2911000000,00503 동구,자치구
광주광역시,광주,서구,Seo-gu,24020,2914000000,00505 서구,자치구
광주광역시,광주,남구,Nam-gu,24030,2915500000,00502 남구,자치구
광주광역시,광주,북구,Buk-gu,24040,2917000000,00504 북구,자치구
광주광역시,광주,광산구,Gwangsan-gu,24050,2920000000,00501 광산구,자치구
대전광역시,대전,동구,Dong-gu,25010,3011000000,00602 동구,자치구
대전광역시,대전,중구,Jung-gu,25020,3014000000,00605 중구,자치구
대전광역시,대전,서구,Seo-gu,25030,3017000000,00603 서구,자치구
대전광역시,대전,유성구,Yuseong-gu,25040,3020000000,00604 유성구,자치구
대전광역시,대전,대덕구,Daedeok-gu,25050,3023000000,00601 대덕구,자치구
울산광역시,울산,중구,Jung-gu,26010,3111000000,00705 중구,자치구
울산광역시,울산,남구,Nam-gu,26020,3114000000,00701 남구,자치구
울산광역시,울산,동구,Dong-gu,26030,3117000000,00702 동구,자치구
울산광역시,울산,북구,Buk-gu,26040,3120000000,00703 북구,자치구
울산광역시,울산,울주군,Ulju-gun,26510,3171000000,00704 울주군,자치군
경기도,경기,수원시,Suwon-si,31010,4111000000,00822 수원시,자치시
경기도,경기,장안구,Jangan-gu,31011,4111100000, ,일반구
경기도,경기,권선구,Gwonseon-gu,31012,4111300000, ,일반구
경기도,경기,팔달구,Paldal-gu,31013,4111500000, ,일반구
경기도,경기,영통구,Yeongtong-gu,31014,4111700000, ,일반구
